df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID
166,伊台,伊台公民館本村分館,松山市上伊台町215-1,○,○,○,○,×,176.3,E3820100243111
167,五明,五明公民館,松山市菅沢町甲247-1,○,○,○,○,△,310.7,E3820100274111
168,五明,五明小学校,松山市菅沢町乙45-4,○,○,○,○,×,303.3,E3820100272112
169,五明,五明幼稚園,松山市菅沢町乙45-4,○,○,○,○,×,303.1,E3820100272111
170,五明,五明公民館菅沢分館,松山市菅沢町甲267-1,×,○,○,○,×,314.1,E3820100275111
171,小野,小野公民館,松山市北梅本町759,○,○,○,○,○,78.23,E3820100590111
172,小野,小野小学校,松山市平井町3673,○,○,○,△,○,80.15,E3820100533111
173,小野,小野中学校,松山市平井町3690,○,○,○,△,○,77.7,E3820100534111
174,小野,平井保育園,松山市平井町甲118,○,○,○,×,○,78.64,E3820100535111
175,小野,小野公民館小野谷分館,松山市小野町甲79,○,○,○,×,×,144.9,E3820100236111
176,小野,小野公民館太尺寺分館,松山市北梅本町6,×,○,○,○,○,107.6,E3820100589111
177,小野,小野公民館駄場分館,松山市北梅本町2631,×,○,○,×,○,109.9,E3820100587111
178,浮穴,浮穴公民館,松山市森松町469-6,○,○,○,△,○,30.69,E3820100259111
179,浮穴,浮穴小学校,松山市森松町832,○,○,○,△,○,35.2,E3820100261111
180,浮穴,南第二中学校,松山市森松町943,○,○,○,△,○,32.65,E3820100263111
181,浮穴,浮穴保育園,松山市南高井町1608-2,○,○,○,×,○,36.42,E3820100468111
182,浮穴,浮穴公民館井門分館,松山市井門町768,○,○,○,×,○,24.11,E3820100015111
183,浮穴,浮穴公民館森松分館,松山市森松町645-1,×,○,○,×,○,33.07,E3820100260111
184,浮穴,浮穴公民館南高井分館,松山市南高井町1318,○,○,○,×,○,43.32,E3820100466111
185,浮穴,松山中央高等学校（体育館）,松山市井門町1220,○,○,○,×,○,21.34,E3820100014111
186,石井,石井公民館,松山市居相1-8-26,○,○,○,△,○,22.59,E3820100096111
187,石井,石井小学校,松山市東石井6-8-52,○,○,○,△,○,23.12,E3820100422111
188,石井,石井北小学校,松山市和泉南1-3-32,○,○,○,×,○,18.89,E3820100652111
189,石井,椿小学校,松山市和泉南6-1-47,○,○,○,△,○,15.69,E3820100655111
190,石井,石井東小学校,松山市越智1-3-35,○,○,○,△,○,30.18,E3820100021111
191,石井,南中学校,松山市東石井7-2-52,○,○,○,△,○,23.28,E3820100423111
192,石井,石井幼稚園,松山市西石井6-4-29,○,○,○,△,○,22.18,E3820100293111
193,石井,石井保育園,松山市西石井6-4-34,○,○,○,△,○,22.59,E3820100294111
194,石井,つばき保育園,松山市古川北2-18-30,○,○,○,△,○,17.1,E3820100132111
195,石井,石井公民館古川分館,松山市古川南1-20-13,○,○,○,×,○,15.9,E3820100127111
196,石井,石井公民館一の宮団地分館,松山市古川南3-10-15,○,○,○,×,○,17.85,E3820100129111
197,石井,石井公民館越智分館,松山市越智2-3-25,×,○,○,△,○,27.29,E3820100022111
198,石井,石井公民館北土居分館,松山市北土居１-4-21,○,○,○,△,○,28.96,E3820100582111
199,石井,古川ふれあいセンター,松山市古川南1-20-18,○,○,○,×,○,16.27,E3820100128111
200,石井,朝生田ふれあいセンター,松山市朝生田町6-3-32,○,○,○,×,○,17.86,E3820100380111
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,×,○,○,×,○,21.35,E3820100020111
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,×,○,○,×,○,21.35,E3820100378111
202,荏原,荏原公民館,松山市東方町955,○,○,○,△,○,47.13,E3820100427111
203,荏原,荏原小学校,松山市東方町甲1245,○,○,○,△,○,56.37,E3820100428111
204,荏原,荏原幼稚園,松山市東方町甲1493-3,○,○,○,○,○,56.48,E3820100430111
205,荏原,荏原公民館津吉分館,松山市津吉町696,×,○,○,○,×,68,E3820100389111
206,荏原,荏原公民館中野分館,松山市中野町甲323,×,○,○,×,○,56,E3820100372111
207,荏原,荏原公民館大橋分館,松山市大橋町56,○,○,○,△,○,45.76,E3820100335111
208,坂本,坂本公民館,松山市久谷町70,○,○,○,○,△,91.6,E3820100074111
209,坂本,坂本小学校,松山市久谷町30,○,○,○,△,○,88.6,E3820100072111
210,坂本,久谷中学校,松山市浄瑠璃町940,○,○,○,○,○,73.3,E3820100253111
211,坂本,坂本幼稚園,松山市久谷町24,○,○,○,△,○,88.3,E3820100071111
212,坂本,坂本公民館出口分館,松山市久谷町甲215,○,○,○,○,×,98.1,E3820100078111
213,坂本,坂本公民館久谷中組分館,松山市久谷町812,○,○,○,○,○,114.8,E3820100075111
214,坂本,坂本公民館奥久谷分館,松山市久谷町甲1780,○,○,○,○,×,188.5,E3820100077111
215,坂本,坂本公民館桜分館,松山市窪野町2119,×,○,○,○,×,278.2,E3820100102111
216,坂本,坂本公民館窪野北谷分館,松山市窪野町1099,×,○,○,○,×,262.5,E3820100101111
217,浅海,浅海公民館,松山市浅海原甲603-1,○,○,×,○,○,3.2,E3820100314111
218,浅海,浅海小学校,松山市浅海本谷甲728,○,○,○,○,○,10.1,E3820100318111
219,浅海,浅海保育園,松山市浅海本谷甲719-1,○,×,×,○,○,2.8,E3820100317111
220,浅海,浅海公民館萩原分館,松山市萩原甲287-3,×,○,○,○,×,122.5,E3820100492111
221,浅海,浅海公民館真沖分館,松山市浅海本谷甲354-11,○,×,×,○,○,2.8,E3820100316111
222,浅海,浅海公民館小竹分館,松山市浅海本谷甲232-2,○,×,×,○,○,3.1,E3820100315111
223,浅海,京ヶ森集会所,松山市浅海原甲1-5,×,×,×,○,×,2,E3820100311111
224,浅海,浅海公民館浅海原分館,松山市浅海原甲538-1,○,×,×,○,○,2.9,E3820100313111
225,浅海,浅海公民館味栗分館,松山市浅海原甲1112-1,×,○,○,○,○,13.4,E3820100310111
226,立岩,立岩公民館,松山市猿川甲747,○,○,○,×,×,103.3,E3820100028111
227,立岩,立岩小学校,松山市猿川原甲49,○,○,○,○,○,98.1,E3820100025111
228,立岩,立岩公民館才之原分館,松山市才之原甲737-1,○,○,○,×,○,54,E3820100173111
229,立岩,猪木集会所,松山市猪木甲３４１－１,×,○,○,○,×,282.8,E3820100668111
230,立岩,立岩公民館猿川下分館,松山市猿川甲371-2,○,○,○,○,×,153.7,E3820100026111
231,立岩,立岩公民館湯裾分館,松山市猿川甲722-2,○,○,○,○,×,113.2,E3820100027111
232,立岩,立岩公民館大遊寺分館,松山市猿川甲924-1,○,○,○,○,○,129.8,E3820100029111
233,立岩,立岩公民館立岩中村分館,松山市立岩中村甲277-1,○,○,○,○,×,171.1,E3820100643111
234,立岩,立岩公民館米之野分館,松山市立岩米之野甲187,○,○,○,○,×,214.9,E3820100645111
235,立岩,立岩公民館庄府分館,松山市庄府甲282-1,○,○,○,○,×,221.3,E3820100239111
236,立岩,立岩公民館儀式分館,松山市儀式甲136-4,○,○,○,○,○,179.9,E3820100063111
237,立岩,立岩公民館坊田分館,松山市小山田甲203-1,○,○,○,○,×,125.9,E3820100225111
238,立岩,立岩公民館小山田上分館,松山市小山田甲344-3,○,○,○,○,×,119.6,E3820100227111
239,立岩,立岩公民館小山田中分館,松山市小山田甲571-3,○,○,○,○,○,109.4,E3820100228111
240,立岩,立岩公民館小山田下分館,松山市小山田甲661-1,○,○,○,○,×,110,E3820100229111
241,立岩,立岩公民館猿川原分館,松山市猿川原甲251,×,○,○,○,○,111.2,E3820100024111
242,難波,難波地域活性化センター,松山市中通甲777-3,○,○,○,○,○,12.5,E3820100363111
243,難波,難波小学校,松山市中通甲807-1,○,○,○,○,○,16.4,E3820100364111
244,難波,難波公民館庄分館,松山市庄甲228-1,○,○,○,○,×,19.1,E3820100237112
245,難波,庄農家高齢者創作館,松山市庄甲228-1,×,○,○,○,×,19,E3820100237111
246,難波,難波公民館上難波分館,松山市上難波甲731-1,×,○,○,○,○,20.8,E3820100246111
247,難波,中通第二集会所,松山市中通甲308,×,○,○,×,○,9.5,E3820100360111
248,難波,中通集会所,松山市中通甲638,○,○,○,○,○,9.6,E3820100362111
249,難波,難波公民館下難波石風呂分館,松山市下難波甲1263-2,○,○,×,×,×,2.3,E3820100039111
250,難波,難波公民館大浦分館,松山市大浦416-1,○,○,×,○,○,4,E3820100332111
251,正岡,正岡公民館,松山市八反地甲90-1,○,○,○,△,○,12.79,E3820100513111
252,正岡,正岡小学校,松山市八反地甲160,○,○,○,△,○,11.9,E3820100509111
253,正岡,国津保育園,松山市八反地甲1647,○,○,○,○,○,10,E3820100512111
254,正岡,椋之原集会所,松山市八反地甲654,×,○,○,○,○,33.3,E3820100511111
255,正岡,小山集会所,松山市中西外271-1,○,○,○,△,○,5.19,E3820100351111
256,正岡,北条ふれあいセンター,松山市中西外346-3,○,○,○,△,○,5.74,E3820100352111
257,正岡,正岡公民館高田分館,松山市高田甲357-2,○,○,○,○,○,19.9,E3820100163111
258,正岡,正岡公民館院内分館,松山市院内甲275-2,○,○,○,○,×,91.6,E3820100018111
259,北条,北条コミュニティセンター,松山市北条辻6,○,○,△,△,○,3.4,E3820100577112
260,北条,北条小学校,松山市北条辻64,○,○,△,△,○,3.74,E3820100579111
261,北条,北条北中学校,松山市北条辻365,○,○,○,△,○,6.4,E3820100576111
262,北条,北条市民会館,松山市北条辻6,○,×,△,△,○,3.28,E3820100577111
263,北条,北条公民館上辻区分館,松山市北条辻332,○,○,△,△,○,3.74,E3820100575111
264,北条,新開集会所,松山市北条辻805-7,×,×,×,×,○,2.58,E3820100580111
265,北条,北条体育館,松山市北条辻1170-6,○,○,×,×,○,3.19,E3820100572111
266,北条,北条公民館浜町区分館,松山市北条1181,○,×,×,×,○,2.35,E3820100568111
267,北条,北条公民館安居島区分館,松山市安居島甲268,○,○,×,○,○,2.9,E3820100005111
268,北条,北条公民館土手内区分館,松山市土手内148-1･148-2,×,×,×,×,○,3.07,E3820100405111
269,北条,北条高等学校（体育館）,松山市北条辻600-1,○,○,×,×,○,3.3,E3820100578111
270,北条,聖カタリナ大学（記念体育館）,松山市北条660,○,○,△,△,○,5.53,E3820100570111
271,河野,河野公民館,松山市河野別府182-1,○,○,○,○,○,18.9,E3820100053111
272,河野,河野小学校,松山市宮内甲9-1,○,○,○,△,○,24.1,E3820100094111
273,河野,北条南中学校,松山市河野別府12,○,○,○,△,△,15.9,E3820100051111
274,河野,河野公民館河野別府分館,松山市河野別府467,×,○,○,○,○,16.78,E3820100054111
275,河野,北条ふるさと館,松山市河野別府995,○,○,○,○,○,8.61,E3820100057111
276,河野,河野公民館府中分館,松山市府中336,×,○,○,○,○,5.58,E3820100519111
277,河野,河野公民館柳原分館,松山市柳原甲144-1,○,×,×,○,○,3.21,E3820100620111
278,河野,河野公民館宮内分館,松山市宮内甲59-4,○,○,○,○,○,25.7,E3820100093111
279,河野,河野公民館善応寺分館,松山市善応寺71-1,○,○,○,○,○,45.8,E3820100320111
280,河野,河野公民館河野高山分館,松山市河野高山甲207-1,○,○,○,○,×,73.6,E3820100048111
281,河野,河野公民館佐古分館,松山市佐古甲173-1,○,○,○,○,×,36.2,E3820100172111
282,河野,河野公民館片山分館,松山市片山甲163-3,○,○,○,×,○,5.99,E3820100550111
283,河野,河野公民館中須賀分館,松山市河野中須賀286-1,×,×,×,×,○,2.49,E3820100049111
284,河野,河野公民館夏目分館,松山市夏目甲420-1,×,○,○,○,×,16.1,E3820100044111
285,粟井,粟井農村環境改善センター,松山市久保88,○,○,○,○,○,10.6,E3820100084111
286,粟井,粟井小学校,松山市常竹甲100,○,○,○,○,×,15.2,E3820100251111
287,粟井,粟井保育園,松山市鹿峰63-2,○,○,○,○,○,10.6,E3820100202111
288,粟井,粟井公民館小川分館,松山市小川甲669-1,○,○,○,×,×,16.1,E3820100231111
289,粟井,粟井公民館磯河内分館,松山市磯河内甲372-4,○,○,○,○,○,8.8,E3820100017111
290,粟井,粟井公民館和田分館,松山市和田甲234-1,×,○,×,○,○,5.1,E3820100657111
291,粟井,久保集会所,松山市久保167,×,○,×,×,○,3.22,E3820100082111
292,粟井,粟井公民館粟井河原分館,松山市粟井河原245-3,○,×,×,○,○,2.5,E3820100003111
293,粟井,粟井公民館鹿峰分館,松山市鹿峰197-2,×,○,×,×,○,2.83,E3820100201111
294,粟井,粟井公民館本谷分館,松山市本谷甲343.344,○,○,○,○,×,35.7,E3820100603111
295,粟井,粟井公民館常竹分館,松山市常竹甲123-1,○,○,○,○,○,17.5,E3820100252111
296,粟井,粟井公民館西谷分館,松山市西谷甲381,×,○,○,○,×,57.2,E3820100295111
297,粟井,粟井公民館客分館,松山市客甲344-1,○,○,○,○,×,122.9,E3820100070111
298,粟井,粟井公民館麓分館,松山市麓甲407-4,○,○,○,○,○,102.8,E3820100647111
299,粟井,粟井公民館小川谷分館,松山市小川谷甲74,○,○,○,○,○,70.2,E3820100232111
300,睦野,睦月小学校,松山市睦月甲1068-6,○,×,△,○,△,2.8,E3820100592111
301,睦野,野忽那小学校,松山市野忽那甲1540-1,○,×,×,○,×,3.3,E3820100617111
302,睦野,中島公民館睦月分館,松山市睦月甲2194-1,×,×,×,○,○,2.5,E3820100593111
303,睦野,中島公民館野忽那分館,松山市野忽那甲1442-6,×,×,×,○,○,2.7,E3820100616111
304,東中島,中島総合文化センター,松山市中島大浦2962,○,○,○,○,△,7.9,E3820100368111
305,東中島,中島小学校,松山市長師564,○,○,○,○,△,6.3,E3820100385111
306,東中島,中島中学校,松山市長師817,○,○,○,○,○,9.7,E3820100386111
307,東中島,中島こども園,松山市中島大浦3021-1,○,×,×,○,○,1.8,E3820100369111
308,東中島,中島公民館大浦分館,松山市中島大浦1623-1,×,×,△,○,○,2.4,E3820100367111
309,東中島,中島公民館小浜集会所,松山市小浜甲558,○,×,×,○,○,2.8,E3820100235111
310,東中島,長師農村開発研修センター,松山市長師107-1,×,×,×,○,○,3.1,E3820100383111
311,東中島,中島公民館宮野分館,松山市宮野437,×,○,△,○,△,3.4,E3820100095111
312,東中島,神浦地域総合施設,松山市神浦753,○,×,×,○,○,2.8,E3820100265111
313,東中島,中島ふれあいセンター,松山市小浜甲1191,○,○,○,○,×,5.8,E3820100234111
314,東中島,中島Ｂ＆Ｇ海洋センター,松山市小浜甲1101-1,○,○,○,○,△,6.8,E3820100233111
315,東中島,松山北高等学校中島分校（体育館）,松山市中島大浦3100-1,○,○,×,○,○,4.1,E3820100370111
316,西中島,宇和間農林漁業体験実習館,松山市宇和間甲920-1,○,×,×,○,○,2.3,E3820100019111
317,西中島,熊田地域総合施設,松山市熊田甲713-3,○,×,×,○,×,2.3,E3820100104111
318,西中島,中島公民館吉木分館,松山市吉木甲1309-1,×,×,×,○,○,2.8,E3820100068111
319,西中島,中島公民館饒分館,松山市饒甲422-2,×,×,×,○,×,2.8,E3820100662111
320,西中島,畑里高齢者健康増進実習館,松山市畑里甲813,○,×,×,○,△,2.7,E3820100508111
321,西中島,中島公民館粟井分館,松山市中島粟井甲1235-1,×,○,×,○,○,3,E3820100365111
322,西中島,城山小学校跡,松山市中島粟井甲876,×,○,○,○,○,10.6,E3820100366111
323,神和,怒和小学校,松山市元怒和甲8-2,○,×,×,○,×,3.8,E3820100118111
324,神和,津和地小学校,松山市津和地1588-1,○,×,×,○,△,4.8,E3820100391111
325,神和,二神小学校,松山市二神甲227,○,×,×,○,○,4.4,E3820100477111
326,神和,元怒和保育所,松山市元怒和甲925-1,○,○,△,○,×,3.6,E3820100119111
327,神和,津和地保育所,松山市津和地420,○,×,×,○,×,3.8,E3820100392112
328,神和,中島公民館上怒和分館,松山市上怒和甲399-97,×,×,×,○,△,3.2,E3820100245111
329,神和,中島公民館元怒和分館,松山市元怒和甲1809-1,×,×,×,○,○,2.4,E3820100117111
330,神和,津和地多目的集会施設,松山市津和地420,○,×,×,○,×,3.7,E3820100392111
331,神和,中島公民館二神分館,松山市二神甲501,×,○,×,○,×,2.9,E3820100478111
